ID,Department,"Vendor Name","Contract Value","Contract Date","Start Year","End Year","Duration in Years","Value Per Year","Original Value","Number of Amendments",Description,"Original Vendor Name"
agr-7200000415,agr,"I4C CONSULTING",2261713.86,2012-08-07,2012,2017,6,376952.31,226565,12,"473 Information Technology and Telecommunications Consultants","I4C CONSULTING INC"
agr-3000551932,agr,"INSTITUT DE RECHERCHE EN BIOLOGIE VÉGÉTALE UNIVERSITÉ DE MONTRÉAL",186981.38,2014-06-10,2014,2016,3,62327.1266667,186981.38,0,"430 Scientific Services","INSTITUT DE RECHERCHE EN BIOLOGIE VÉGÉTALE - UNIVERSITÉ DE MONTRÉAL"
agr-20140717A,agr,MARKETWIRE,15820,2014-04-01,2014,2015,2,7910,15820,0,"351 Communications Professional Services not Elsewhere Specified",MARKETWIRE
agr-3000551295,agr,"WATSON MACEWEN ARCHITECTS",38239.2,2014-05-30,2014,2015,2,19119.6,25877,3,"421 Architectural Services","WATSON MACEWEN ARCHITECTS"
agr-1900146909,agr,"TECAN US",10029.09,2014-03-31,2014,2014,1,10029.09,10029.09,0,"660 Measuring, Controlling, Laboratory, Medical and Optical Instruments, Apparatus and Accessories","TECAN U.S. INC"
agr-3000563285,agr,DATAMONITOR,28417.5,2014-12-04,2014,2015,2,14208.75,28417.5,0,"361 Electronic subscriptions and electronic publications",DATAMONITOR
agr-3000539979,agr,"DIAMOND BAR EQUIPMENT",13897.8,2014-02-05,2014,2014,1,13897.8,13897.8,0,"1243 Measuring, Controlling, Laboratory, Medical and Optical Equipment and Parts","DIAMOND BAR EQUIPMENT"
agr-3000560989,agr,"ELEANOR THOMSON",22800,2014-11-17,2014,2015,2,11400,22800,0,"430 Scientific Services","ELEANOR THOMSON"
agr-7200000352,agr,CGI,1999893.34,2011-11-14,2011,2014,4,499973.335,800000,0,"473 Information Technology and Telecommunications Consultants","CGI INFORMATIONS SYSTEMS AND MANAGEMENTS CONSULTANTS INC."
agr-3000517846,agr,"WESTPLACE ENTERPRISES",26250.03,2013-05-01,2013,2015,3,8750.01,10500,2,"655 Processing Machinery","WESTPLACE ENTERPRISES LTD."
agr-3000528487,agr,"LARRY PENNER ENTERPRISES",30100,2013-09-01,2013,2014,2,15050,24000,3,"1124 Diesel Fuel","LARRY PENNER ENTERPRISES INC"
agr-7200000589,agr,"MAPLESOFT GROUP",1616684.45,2013-09-18,2013,2018,6,269447.408333,124587.75,2,"473 Information Technology and Telecommunications Consultants","MAPLESOFT GROUP"
agr-3000461983,agr,"BRODERICK GARDEN CENTRE (2012)",57046.51,2012-04-01,2012,2014,3,19015.5033333,18456.38,0,"859 Other Business Services not Elsewhere Specified","BRODERICK GARDEN CENTRE (2012)"
agr-3000530446,agr,"IMPERIAL OIL LIMITED",28600,2013-09-01,2013,2014,2,14300,23000,3,"1124 Diesel Fuel","IMPERIAL OIL LIMITED"
agr-3000564064,agr,"BRONSON CONSULTING GROUP",24916.5,2014-12-16,2014,2015,2,12458.25,24916.5,0,"491 Management Consulting","BRONSON CONSULTING GROUP"
agr-201421A,agr,BRUKER,73133.76,2014-01-23,2014,2014,1,73133.76,73133.76,0,"1243 Measuring, Controlling, Laboratory, Medical and Optical Equipment and Parts","BRUKER LTD"
agr-7200000697,agr,"TURTLE TECHNOLOGIES",123136.1,2014-10-22,2014,2015,2,61568.05,66862.1,2,"473 Information Technology and Telecommunications Consultants","TURTLE TECHNOLOGIES INC"
agr-3000552865,agr,AGRI-MECHANICAL,24850,2014-06-25,2014,2014,1,24850,24850,0,"1219 Other Machinery and Parts","AGRI-MECHANICAL LTD."
agr-3000443700,agr,"GOWLING LAFLEUR HENDERSON LLP",655000,2011-07-18,2011,2019,9,72777.7777778,551250,0,"410 Legal Services","GOWLING LAFLEUR HENDERSON LLP"
agr-3000524787,agr,"FORRESTER RESEARCH",30875.76,2013-08-08,2013,2014,2,15437.88,30875.76,0,"1143 Printed Matter, Including Books, Newspapers, Pictures, Manuscripts and Forms","FORRESTER RESEARCH INC"
agr-3000547627,agr,"CANADIAN CORPS OF COMMISSIONAIRES",82782,2014-04-01,2014,2015,2,41391,82782,0,"460 Protection Services","CORPS CANADIEN DES COMMISSIONNAIRES"
agr-3000511664,agr,"INSIDE WASHINGTON PUBLISHERS",38705.44,2013-03-01,2013,2017,5,7741.088,9676.36,3,"361 Electronic subscriptions and electronic publications","INSIDE WASHINGTON PUBLISHERS"
agr-3000520000,agr,"VALOGGIA LINGUISTIQUE",14336,2013-03-04,2013,2014,2,7168,12040,2,"447 Tuition Fees and Costs of Attending Courses Including Seminars not Elsewhere Specified","VALOGGIA LINGUISTIQUE INC."
agr-3000539175,agr,"BLACK & MCDONALD",12209.4,2014-01-29,2014,2014,1,12209.4,12209.4,0,"1241 Plumbing Equipment and Fittings, Including Parts","BLACK & MCDONALD  LTD"
agr-3000535796,agr,"ECOLE DE LANGUE NOUVEL ESPOIR",10453,2014-01-06,2014,2014,1,10453,10434,2,"447 Tuition Fees and Costs of Attending Courses Including Seminars not Elsewhere Specified","ECOLE DE LANGUE NOUVEL ESPOIR INC"
agr-3000540112,agr,"FISHER SCIENTIFIC",19071.64,2014-02-06,2014,2014,1,19071.64,19071.64,0,"1243 Measuring, Controlling, Laboratory, Medical and Optical Equipment and Parts","FISHER SCIENTIFIC"
agr-3000538662,agr,"EQUIPEMENTS ET PIECES JCLENR",20605.19,2014-01-28,2014,2014,1,20605.19,20605.19,0,"1261 Road Motor Vehicles","EQUIPEMENTS ET PIECES J.C.L.ENR."
agr-3000537724,agr,"WATERS LIMITED",24913.33,2014-01-22,2014,2014,1,24913.33,24913.33,0,"1243 Measuring, Controlling, Laboratory, Medical and Optical Equipment and Parts","WATERS LIMITED"
agr-3000564050,agr,"FISHER SCIENTIFIC",18370.42,2014-12-15,2014,2015,2,9185.21,18370.42,0,"660 Measuring, Controlling, Laboratory, Medical and Optical Instruments, Apparatus and Accessories","FISHER SCIENTIFIC"
agr-3000544307,agr,"RAYMOND SC WAN",10967.92,2014-03-04,2014,2014,1,10967.92,10500,2,"421 Architectural Services","RAYMOND S.C. WAN"
agr-3000496842,agr,"CANON CANADA",47871.44,2012-12-01,2012,2016,5,9574.288,20401.02,2,"533 Rental of Machinery, Office Furniture and Fixtures and Other Equipment","CANON CANADA INC."
agr-3000490340,agr,"AGILENT TECHNOLOGIES",171974.7,2012-09-14,2012,2015,4,42993.675,57324.9,2,"660 Measuring, Controlling, Laboratory, Medical and Optical Instruments, Apparatus and Accessories","AGILENT TECHNOLOGIES"
