ID,Department,"Vendor Name","Contract Value","Contract Date","Start Year","End Year","Duration in Years","Value Per Year","Original Value","Number of Amendments",Description,"Original Vendor Name"
acoa-cp24872,acoa,"PRIORITY PERSONNEL",37826.76,2015-01-09,2015,2016,2,18913.38,6401.45,0,"0813  Temporary Help Services","Priority Personnel Inc."
acoa-cp25394,acoa,"N12 CONSULTING CORP",30962,2015-01-07,2015,2015,1,30962,30962,0,"0473  Information Technology and Telecommunications Consultants","N12 Consulting Corp."
acoa-cp25425,acoa,"EQUIFAX CANADA CO",80216.44,2015-01-07,2015,2017,3,26738.8133333,80216.44,0,"0859  Other Business Services not Elsewhere Specified","Equifax Canada Co."
acoa-cp25448,acoa,"DELOITTE AND TOUCHE",23000,2015-01-07,2015,2015,1,23000,23000,0,"0499  Other Professional Services not Elsewhere Specified","DELOITTE LLP"
acoa-cp25466,acoa,"CANADIAN CORPS OF COMMISSIONAIRES",25296.18,2015-01-09,2015,2015,1,25296.18,13621.02,0,"0859  Other Business Services not Elsewhere Specified","The Canadian Corps of commissionaires"
acoa-cp25567,acoa,"CISION CANADA",24860,2015-02-07,2015,2017,3,8286.66666667,24860,0,"0351  Communications Professional Services not Elsewhere Specified","CISION CANADA INC."
acoa-cp25187,acoa,"INFO TECH RESEARCH GROUP",29832,2015-01-07,2015,2016,2,14916,29832,0,"0582  License/Maintenance fees for Client Software","Info Tech Research Group"
acoa-cp25675,acoa,"KELLY SERVICES (CANADA)",14695.65,2015-01-09,2015,2015,1,14695.65,14378.69,0,"0813  Temporary Help Services","Kelly Services (Canada) Ltd."
acoa-cp25699,acoa,"FORD MOTOR COMPANY OF CANADA",26448.78,2015-01-09,2015,2015,1,26448.78,26448.78,0,"1261  Road Motor Vehicles","FORD MOTOR COMPANY OF CANADA"
agr-7200000415,agr,"I4C CONSULTING",2261713.86,2012-08-07,2012,2017,6,376952.31,226565,12,"473 Information Technology and Telecommunications Consultants","I4C CONSULTING INC"
agr-3000572274,agr,"THERMO FISHER SCIENTIFIC",24522.53,2015-03-04,2015,2015,1,24522.53,24522.53,0,"660 Measuring, Controlling, Laboratory, Medical and Optical Instruments, Apparatus and Accessories","THERMO FISHER SCIENTIFIC"
