ID,Department,"Vendor Name","Contract Value","Contract Date","Start Year","End Year","Original Value","Number of Amendments",Description,"Original Vendor Name"
agr-3000602232,agr,"ILLUMINA CANADA",25280.08,2016-02-02,2016,2017,25280.08,0,"660 Measuring, Controlling, Laboratory, Medical and Optical Instruments, Apparatus and Accessories","ILLUMINA CANADA INC"
agr-3000528766,agr,"KENNETH LUTZ EXCAVATING",22998.85,2013-10-03,2013,2013,22998.85,0,"628 Other Engineering Works","KENNETH LUTZ EXCAVATING LTD."
agr-7200000415,agr,"I4C CONSULTING",2261713.86,2012-08-07,2012,2017,226565,12,"473 Information Technology and Telecommunications Consultants","I4C CONSULTING INC"
agr-3000572274,agr,"THERMO FISHER SCIENTIFIC",24522.53,2015-03-04,2015,2015,24522.53,0,"660 Measuring, Controlling, Laboratory, Medical and Optical Instruments, Apparatus and Accessories","THERMO FISHER SCIENTIFIC"
agr-3000608601,agr,"PARTNERS FOR MENTAL HEALTH (PFMH)",24999,2016-04-01,2016,2017,24999,0,"361 Electronic subscriptions and electronic publications","PARTNERS FOR MENTAL HEALTH (PFMH)"
agr-1900089910,agr,"ARI FINANCIAL SERVICES",10039.62,2015-10-07,2015,2015,10039.62,0,"682 Road Motor Vehicles - Non-military","ARI FINANCIAL SERVICES INC"
agr-3000625364,agr,"SOUTHERN SEED TECHNOLOGY",71795.28,2016-10-25,2016,2017,71795.28,0,"430 Scientific Services","SOUTHERN SEED TECHNOLOGY LTD."
agr-3000551932,agr,"INSTITUT DE RECHERCHE EN BIOLOGIE VÉGÉTALE UNIVERSITÉ DE MONTRÉAL",186981.38,2014-06-10,2014,2016,186981.38,0,"430 Scientific Services","INSTITUT DE RECHERCHE EN BIOLOGIE VÉGÉTALE - UNIVERSITÉ DE MONTRÉAL"
agr-3000619617,agr,"ATELIER JEAN PAQUET",24987.69,2016-08-11,2016,2016,24987.69,0,"1179 Miscellaneous Manufactured Articles","ATELIER JEAN PAQUET"
agr-3000609493,agr,"T BAR C CATTLE CO",42750,2016-03-31,2016,2016,42750,0,"1111 Live Animals, Including Their Fodder","T BAR C CATTLE CO. LTD."
agr-20140717A,agr,MARKETWIRE,15820,2014-04-01,2014,2015,15820,0,"351 Communications Professional Services not Elsewhere Specified",MARKETWIRE
agr-3000573608,agr,"K PEDERSEN EQUIPMENT",24049.61,2015-03-12,2015,2016,18933.72,0,"1219 Other Machinery and Parts","K. PEDERSEN EQUIPMENT LTD."
agr-1900100360,agr,"ARI FINANCIAL SERVICES",11676.84,2015-11-20,2015,2015,11676.84,0,"682 Road Motor Vehicles - Non-military","ARI FINANCIAL SERVICES INC"
agr-3000551295,agr,"WATSON MACEWEN ARCHITECTS",38239.2,2014-05-30,2014,2015,25877,3,"421 Architectural Services","WATSON MACEWEN ARCHITECTS"
agr-1900146909,agr,"TECAN US",10029.09,2014-03-31,2014,2014,10029.09,0,"660 Measuring, Controlling, Laboratory, Medical and Optical Instruments, Apparatus and Accessories","TECAN U.S. INC"
agr-3000563285,agr,DATAMONITOR,28417.5,2014-12-04,2014,2015,28417.5,0,"361 Electronic subscriptions and electronic publications",DATAMONITOR
agr-3000528914,agr,"COMMERCIAL PAINTING AND RENOVATIONS",14633.5,2013-10-13,2013,2013,12995,0,"630 Office Buildings","COMMERCIAL PAINTING AND RENOVATIONS"
