"operatingName","email","website","filename","alternateName","legalName"
"""Little Miss Chief"" Gourmet Products Inc","lmchief@telus.net","http://www.littlemisschief.com","""LITTLE MISS CHIEF"" GOURMET PRODUCTS INC.html",,
"'DOC' Lock Inc.","martin@doclock.ca","http://www.doclock.ca","'DOC' LOCK INC.html",,
"(Clare) Weber's Fabricating Ltd.","cnweber@webersfab.ca","http://www.webersfab.ca/","(CLARE) WEBER'S FABRICATING LTD.html","C-Max Fire Solutions",
"(formerly Cooper Machine & Tool Co.), Part of AFA SYSTEMS Group","info@coopermachine.ca","http://www.afasystemsinc.com","(FORMERLY COOPER MACHINE & TOOL CO), PART OF AFA SYSTEMS GROUP.html",,"AFA COOPER INC."
"(GCE) Grand Canada Engineering Limited","info@gcel.ca","http://www.gcel.ca","(GCE) GRAND CANADA ENGINEERING LIMITED.html","GCE",
"(ICE) Manufacturing Ltd.","sales@ice-ww.com","http://www.ice-ww.com","(ICE) MANUFACTURING LTD.html","Industrial Commercial Equipment","Industrial Commercial Equipment Manufacturing Ltd."
"(MCI) MOTOR CONTROLS INCORPORATED","mcincorporated@shaw.ca",,"(MCI) MOTOR CONTROLS INCORPORATED.html","MCI",
"(SUBCOE)","sales@subcoe.com","http://www.subcoe.com","(SUBCOE).html",,"6094376 Canada Limited"
"01 COMMUNICATIONS INC.","info@01COMMUNICATIONS.com","http://www.01COMMUNICATIONS.com","01 COMMUNICATIONS INC.html","DNAOS.com",
"0921728 BC Ltd.","greenplanetvacuums@gmail.com","http://aerushome.com/","0921728 BC LTD.html",,
"1 800 ITplace","getmore@1800itplace.com","http://www.1800itplace.com","1 800 ITPLACE.html",,"Special Solutions Inc."
"1 Hour Signs","signs@1hs.ca","http://www.emageplus.ca","1 HOUR SIGNS.html",,
"1 Nation Distribution","Robin@1nationdistribution.com","http://1nationdistribution.com/","1 NATION DISTRIBUTION.html",,
"1 Nation Distribution","Robin@1nationdistribution.com","http://1nationdistribution.com/","1 Nation Distribution.html",,
"1 PWP",,,"1 PWP.html",,
"1 Stop","1stopprint@gmail.com","http://www.1stop-print.com","1 STOP.html",,"1 Stop Inc."
"1 Stop","1stopprint@gmail.com","http://www.1stop-print.com","1 Stop.html",,"1 Stop Inc."
